"","cupo","edad","saldo","pago"
"103",480000,63,469961,24200
"104",50000,22,24094,904
"105",60000,26,55305,3000
"106",70000,24,26529,2000
"107",80000,36,1150,1035
"108",350000,52,5263,5011
"109",130000,38,126568,4796
"110",360000,35,-103,0
"111",330000,31,107289,0
"112",50000,47,17393,1000
"113",280000,41,149415,5000
"114",100000,24,59713,2033
"115",50000,41,19957,684
"116",30000,24,21201,1000
"117",240000,28,326,526
"118",80000,26,18186,1000
"119",400000,34,7959,5712
"120",240000,38,1203,563
"121",50000,37,51143,0
"122",450000,40,0,0
"123",110000,48,0,0
"124",310000,35,198889,5987
"125",20000,27,15630,0
"126",20000,23,0,0
"127",200000,52,104993,3784
"128",180000,36,95927,1000
"129",50000,51,7077,134
"130",60000,55,26547,1500
"131",30000,23,5906,3024
"132",240000,41,1737,924
"133",420000,34,188108,11326
"134",330000,46,228203,8200
"135",30000,22,-780,1560
"136",240000,34,13891,327
"137",150000,27,30229,5000
"138",210000,33,5708,546
"139",50000,51,0,0
"140",50000,24,18995,2130
"141",240000,47,0,0
"142",180000,28,416,832
"143",50000,23,18065,600
"144",170000,29,15846,10000
"145",20000,29,339,330
"146",50000,28,10138,0
"147",170000,27,9100,0
"148",200000,34,59875,8500
"149",80000,23,12034,1
"150",260000,60,869,0
"151",140000,32,55251,2602
"152",80000,25,31826,14000
"153",350000,41,0,0
"154",280000,56,169311,6321
"155",30000,26,14206,1500
"156",140000,34,48699,5504
"157",200000,37,94031,5000
"158",200000,30,122324,4500
"159",210000,45,154105,10478
"160",50000,57,14083,600
"161",30000,41,28321,1250
"162",50000,27,540,390
"163",290000,47,423,369
"164",250000,34,160220,3920
"165",60000,46,27756,1500
"166",110000,27,77254,2800
"167",370000,50,13453,4699
"168",100000,27,-246,50000
"169",90000,35,88290,0
"170",50000,22,28806,567
"171",270000,37,24641,2000
"172",300000,30,800,746
"173",50000,22,7725,10000
"174",50000,24,-3272,0
"175",360000,29,0,0
"176",130000,56,71345,0
"177",80000,30,5380,0
"178",50000,30,22361,2000
"179",20000,22,14906,1000
"180",80000,29,11486,0
"181",240000,37,1256,65935
"182",80000,35,17460,2000
"183",500000,47,70064,20000
"184",60000,24,19395,2000
"185",20000,25,1620,0
"186",100000,38,16448,1500
"187",360000,32,16240,38313
"188",200000,47,189915,6836
"189",130000,34,14636,2000
"190",20000,31,20487,0
"191",310000,32,43328,4223
"192",60000,27,22873,846
"193",180000,29,17042,5114
"194",180000,24,0,0
"195",50000,36,658,20011
"196",50000,24,40035,0
"197",150000,34,1500,0
"198",20000,22,19247,1000
"199",500000,34,1151,15816
"200",30000,22,0,0
"201",180000,38,0,0
"202",140000,31,10833,2500
"203",140000,26,487,7004
"204",120000,26,122135,5000
"205",360000,48,146511,4100
"206",20000,43,19337,1700
"207",100000,47,0,2380
"208",210000,41,0,419
"209",80000,24,49568,1800
"210",330000,50,1709,258
"211",220000,24,85632,0
"212",210000,38,1222,9616
"213",40000,43,31339,1000
"214",30000,39,8032,148
"215",470000,27,309959,10367
"216",30000,42,780,0
"217",240000,36,-946,0
"218",80000,36,78245,3000
"219",110000,31,63208,8954
"220",310000,38,0,0
"221",360000,40,120238,4700
"222",330000,45,330121,11678
"223",300000,35,212508,15000
"224",320000,33,33263,3754
"225",50000,37,29957,30592
"226",170000,28,128839,4962
"227",350000,44,0,0
"228",20000,37,19175,782
"229",50000,23,18858,1004
"230",20000,24,0,3200
"231",50000,24,1308,389
"232",20000,23,10104,10000
"233",50000,26,46557,2000
"234",190000,34,150052,2769
"235",60000,33,19421,599
"236",80000,35,19942,2418
"237",150000,27,29497,2529
"238",210000,31,2293,3299
"239",240000,50,214694,7714
"240",140000,41,16383,2399
"241",60000,28,2285,0
"242",50000,39,15874,2000
"243",50000,27,29399,1100
"244",180000,32,0,176
"245",30000,40,79,60
"246",20000,40,0,0
"247",250000,75,794,1184
"248",100000,27,32904,0
"249",330000,25,25358,2566
"250",50000,46,17484,2000
"251",50000,26,29998,3003
"252",30000,28,0,0
"253",140000,26,106828,3304
"254",160000,28,84426,10000
"255",400000,29,2486,862
"256",50000,25,28538,886
"257",140000,48,21361,1347
"258",160000,33,2210,0
"259",100000,43,0,0
"260",220000,48,162402,5500
"261",510000,29,36739,65000
"262",50000,29,28309,6318
"263",160000,38,12652,1916
"264",230000,37,338,0
"265",80000,37,16872,4000
"266",150000,25,316,316
"267",10000,23,9411,175
"268",130000,49,27500,0
"269",40000,48,35673,1500
"270",50000,27,2614,1390
"271",100000,32,18126,2015
"272",120000,34,0,450
"273",260000,58,0,0
"274",200000,33,11905,3000
"275",360000,28,0,0
"276",70000,36,15085,2000
"277",460000,40,22535,0
"278",50000,26,316,316
"279",50000,33,19703,697
"280",250000,31,101299,4400
"281",30000,27,0,0
"282",270000,44,43414,31031
"283",180000,30,70204,3211
"284",100000,28,56265,3000
"285",230000,32,98457,5000
"286",210000,46,586,19777
"287",210000,38,46549,2502
"288",440000,46,97622,2701
"289",100000,25,51365,1559
"290",240000,46,4311,1000
"291",280000,33,-339603,345293
"292",50000,22,0,0
"293",30000,43,2566,0
"294",10000,27,10182,700
"295",130000,29,0,1500
"296",200000,31,133990,5300
"297",120000,29,1820,2496
"298",210000,36,131629,4700
"299",280000,36,30771,2000
"300",300000,34,203,0
"301",100000,37,64513,2305
"302",440000,36,0,0
"303",50000,40,14458,1000
"304",20000,25,12510,2000
"305",200000,27,7414,2880
"306",110000,26,400,0
"307",500000,36,0,0
"308",300000,27,0,0
"309",30000,55,14514,1500
"310",60000,27,11736,0
"311",400000,38,2077,9085
"312",180000,34,132845,5100
"313",20000,40,14340,0
"314",200000,49,59983,3000
"315",100000,27,6441,200
"316",60000,23,19346,616
"317",110000,36,53652,2200
"318",260000,53,485,459
"319",50000,46,24883,654
"320",180000,29,-2,0
"321",110000,29,47969,2000
"322",340000,27,103263,50000
"323",50000,24,8085,1000
"324",230000,28,6173,1000
"325",360000,32,100738,10000
"326",210000,43,37056,3000
"327",220000,41,325,325
"328",60000,34,30225,1291
"329",340000,55,7416,77195
"330",150000,40,109428,4200
"331",200000,37,16893,2500
"332",130000,40,12685,500
"333",60000,28,31857,7000
"334",400000,43,78388,0
"335",20000,27,18868,376
"336",190000,28,160361,5865
"337",260000,30,159108,6000
"338",140000,31,0,0
"339",50000,31,29170,1047
"340",120000,34,830,2037
"341",240000,30,0,1883
"342",50000,36,978,0
"343",200000,29,24248,1000
"344",180000,39,1005,1898
"345",180000,26,106517,4028
"346",160000,29,1654,13000
"347",100000,26,3980,1525
"348",50000,29,41145,2000
"349",140000,31,142174,5000
"350",30000,26,19844,1000
"351",90000,26,23101,3000
"352",200000,36,1386,10000
"353",380000,30,0,0
"354",80000,43,19414,882
"355",50000,58,18856,638
"356",180000,45,31127,1500
"357",240000,26,103360,3520
"358",380000,34,169121,4400
"359",110000,24,84462,4000
"360",260000,34,291,291
"361",500000,23,419643,19000
"362",320000,30,74610,2500
"363",50000,32,25775,1590
"364",110000,40,216,66
"365",230000,35,613,520
"366",330000,56,8676,384
"367",50000,61,24774,1039
"368",10000,24,2132,0
"369",300000,40,0,0
"370",20000,32,10985,616
"371",180000,36,0,0
"372",160000,30,21712,50000
"373",90000,34,48767,2000
"374",30000,54,25943,0
"375",180000,46,178719,7000
"376",30000,58,22437,1961
"377",30000,43,24242,1000
"378",140000,28,3745,4000
"379",210000,30,49888,10000
"380",50000,31,12487,5000
"381",130000,29,75355,5750
"382",50000,37,2415,400
"383",140000,36,88450,3300
"384",170000,28,5889,95
"385",80000,25,0,6305
"386",410000,42,240176,8300
"387",80000,29,0,0
"388",80000,73,75018,5100
"389",150000,43,157759,5334
"390",260000,30,291,651
"391",350000,38,0,0
"392",280000,39,33316,5000
"393",310000,44,71620,2653
"394",140000,29,21085,2000
"395",360000,51,0,0
"396",140000,27,142620,5600
"397",100000,38,28947,0
"398",50000,22,632,0
"399",210000,30,74125,5000
"400",120000,25,117167,4400
"401",240000,29,184922,6100
"402",60000,42,29064,2000
"403",150000,41,822,472
"404",30000,48,26179,2244
"405",160000,29,153800,5654
"406",200000,52,82150,396
"407",120000,25,0,0
"408",500000,37,303510,10526
"409",320000,27,66541,11341
"410",280000,31,167983,6288
"411",60000,23,32965,1200
"412",200000,38,-150,0
"413",230000,32,3404,0
"414",230000,27,5068,4641
"415",480000,41,22593,2000
"416",50000,35,0,640
"417",200000,31,160,1103
"418",50000,30,18990,1000
"419",50000,48,19548,2500
"420",260000,36,0,0
"421",30000,24,29371,1800
"422",440000,29,151936,6010
"423",230000,38,0,2213
"424",200000,38,105253,0
"425",490000,30,190306,6000
"426",80000,32,0,0
"427",20000,49,16414,1000
"428",170000,31,199,398
"429",70000,27,29795,1000
"430",210000,33,66167,3000
"431",90000,25,77648,3100
"432",390000,27,281826,7000
"433",110000,29,53206,2500
"434",580000,36,167964,5946
"435",360000,55,0,0
"436",270000,32,221413,0
"437",60000,27,150,200
"438",110000,37,60145,2300
"439",50000,25,20859,704
"440",80000,23,47110,1700
"441",50000,23,12584,2400
"442",100000,32,89522,3200
"443",30000,26,2995,0
"444",200000,27,124793,4400
"445",240000,44,198857,7000
"446",220000,34,15602,500
"447",160000,28,83988,2500
"448",180000,53,1599,0
"449",200000,42,0,2102
"450",140000,30,58880,5200
"451",380000,51,0,0
"452",600000,53,434715,20000
"453",260000,37,131074,6000
"454",200000,26,871,2015
"455",80000,42,48443,1700
"456",40000,39,5315,4987
"457",130000,39,75820,6000
"458",50000,32,0,0
"459",230000,41,9130,6554
"460",70000,48,6400,4590
"461",180000,38,126219,5000
"462",80000,36,7868,2198
"463",290000,26,1448,4900
"464",230000,28,96116,3000
"465",170000,56,150,614
"466",230000,59,191671,6945
"467",220000,38,165300,7009
"468",230000,32,19831,500
"469",500000,38,51481,2132
"470",90000,41,670,1362
"471",390000,35,263018,9435
"472",400000,41,155182,6012
"473",180000,34,1382,2440
"474",60000,38,35002,0
"475",120000,32,5930,5120
"476",60000,29,23159,420
"477",50000,44,29638,1000
"478",70000,37,50809,2700
"479",500000,38,450,600
"480",200000,31,0,0
"481",250000,40,919,67619
"482",140000,26,130271,5400
"483",70000,28,4162,0
"484",90000,48,59378,4086
"485",100000,43,2562,2111
"486",190000,31,117465,3517
"487",230000,42,6992,0
"488",320000,39,95323,938
"489",220000,36,396,792
"490",260000,34,2514,7725
"491",90000,32,0,0
"492",30000,43,19633,800
"493",260000,30,69174,2003
"494",170000,28,0,0
"495",80000,28,10490,276
"496",50000,41,320,1000
"497",200000,47,198717,7100
"498",20000,23,19664,104
"499",250000,49,1639,0
"500",20000,38,19933,850
"501",30000,38,24576,1200
"502",90000,35,30548,2000
"503",230000,46,193351,7000
"504",130000,33,0,0
"505",30000,53,0,0
"506",160000,35,1220,0
"507",500000,43,200,528666
"508",180000,28,34661,2000
"509",80000,30,5515,500
"510",120000,26,0,0
"511",130000,31,390,780
"512",120000,35,240,240
"513",360000,28,50537,3219
"514",50000,23,33081,1500
"515",20000,23,13246,4
"516",100000,56,80335,732
"517",70000,32,71284,5500
"518",50000,47,19439,500
"519",10000,22,9984,1287
"520",290000,34,115297,7000
"521",30000,31,19818,1623
"522",410000,27,61420,5350
"523",360000,28,125557,167000
"524",140000,42,66735,5000
"525",210000,32,74827,3000
"526",220000,27,2891,153504
"527",20000,27,20241,300
"528",620000,45,170894,6000
"529",360000,26,2600,0
"530",20000,21,0,0
"531",50000,23,19575,1000
"532",50000,30,18302,637
"533",10000,46,6785,251
"534",100000,50,62524,2500
"535",50000,26,0,0
"536",60000,25,6200,2435
"537",440000,35,179221,5500
"538",120000,44,46775,0
"539",50000,52,0,0
"540",110000,40,101213,3800
"541",200000,38,270,317
"542",150000,28,318,0
"543",30000,36,28805,1500
"544",100000,24,29427,330
"545",360000,34,2142,4230
"546",390000,31,51941,5000
"547",220000,41,-200,0
"548",160000,25,0,0
"549",230000,28,20539,2000
"550",120000,27,31214,3500
"551",100000,52,7638,2000
"552",190000,41,554,0
"553",50000,56,29977,1017
"554",240000,42,0,0
"555",40000,24,37255,1751
"556",630000,47,0,4981
"557",160000,33,199,1145
"558",110000,32,83206,3000
"559",20000,29,0,0
"560",210000,53,65163,0
"561",270000,34,14923,1712
"562",360000,52,-3,789
"563",60000,42,3640,730
"564",360000,38,66078,105700
"565",390000,45,2698,3
"566",250000,35,11082,13407
"567",90000,24,23387,764
"568",360000,28,6220,16071
"569",50000,26,19567,683
"570",270000,40,0,0
"571",200000,29,0,125
"572",50000,23,19013,1000
"573",350000,33,4532,0
"574",160000,60,1009,0
"575",80000,49,7601,7990
"576",290000,53,238266,8546
"577",270000,28,48888,15000
"578",80000,31,4085,0
"579",50000,36,6980,1000
"580",30000,35,0,0
"581",30000,28,0,0
"582",90000,33,38449,6537
"583",160000,26,9528,6066
"584",80000,53,54022,2000
"585",50000,42,0,0
"586",20000,25,17618,800
"587",220000,43,0,0
"588",210000,25,1990,7967
"589",130000,29,47455,1365
"590",260000,31,18659,38923
"591",230000,30,51522,10000
"592",160000,34,87526,3013
"593",50000,35,9011,172
"594",80000,32,38052,5002
"595",110000,46,62213,2454
"596",200000,43,134309,4902
"597",360000,29,250244,7300
"598",210000,31,0,0
"599",80000,24,57264,2200
"600",300000,36,65373,10780
"601",310000,43,25514,807
"602",30000,59,1320,0
"603",170000,53,12930,361
"604",140000,28,29930,3000
"605",180000,31,0,1576
"606",50000,34,24549,1030
"607",50000,36,0,0
"608",110000,24,33189,3000
"609",450000,36,3000,3238
"610",200000,34,390,390
"611",220000,43,33150,0
"612",360000,29,2650,0
"613",50000,37,44573,2000
"614",40000,23,29551,0
"615",190000,37,125478,5000
"616",150000,33,3323,8399
"617",200000,37,0,2370
"618",270000,56,101151,3900
"619",60000,25,39140,2000
"620",200000,39,70718,2620
"621",150000,39,31561,2000
"622",180000,28,610,460
"623",90000,27,0,0
"624",360000,37,541,4268
"625",90000,24,0,0
"626",20000,24,15829,1327
"627",70000,46,49946,1800
"628",230000,39,660,660
"629",30000,48,29693,530
"630",200000,45,9921,5016
"631",100000,49,0,0
"632",50000,23,33138,2000
"633",20000,25,0,0
"634",210000,47,0,0
"635",110000,56,23468,4976
"636",20000,44,0,0
"637",50000,49,4756,0
"638",50000,41,18805,618
"639",400000,40,173599,7700
"640",170000,31,51461,3000
"641",280000,42,147911,5600
"642",130000,28,0,0
"643",210000,32,65576,5000
"644",370000,28,51434,6000
"645",30000,31,21251,0
"646",150000,39,0,0
"647",60000,31,0,0
"648",80000,24,58390,2500
"649",280000,44,195874,15000
"650",20000,46,18148,0
"651",270000,32,-200,0
"652",240000,26,14497,500
"653",20000,22,19547,1600
"654",450000,42,0,0
"655",10000,33,6857,1500
"656",280000,39,3526,3519
"657",290000,27,0,0
"658",190000,28,34412,2000
"659",80000,23,1460,0
"660",280000,28,1047,1000
"661",160000,33,7957,1905
"662",90000,40,0,0
"663",140000,37,510,0
"664",50000,22,390,1170
"665",40000,32,30456,0
"666",130000,43,100124,3681
"667",70000,27,59480,2258
"668",30000,35,26918,2000
"669",100000,35,101492,0
"670",20000,30,7598,0
"671",30000,34,36904,3095
"672",20000,34,17113,1000
"673",100000,28,79261,3000
"674",30000,25,1800,0
"675",320000,41,105859,3510
"676",90000,42,28306,1300
"677",190000,40,169928,7000
"678",200000,28,156323,10000
"679",300000,31,2508,4141
"680",30000,56,7024,7024
"681",110000,45,22158,2000
"682",230000,29,0,0
"683",230000,35,0,0
"684",310000,28,57170,5000
"685",320000,40,235837,8000
"686",360000,47,4125,10007
"687",20000,41,643,1000
"688",170000,27,171863,6200
"689",140000,40,136287,4767
"690",80000,32,42527,1500
"691",150000,35,2129,0
"692",170000,27,0,0
"693",200000,29,125021,5000
"694",70000,30,59329,2500
"695",320000,37,2967,5028
"696",150000,29,0,0
"697",50000,34,7570,1000
"698",90000,34,0,0
"699",280000,41,13969,4437
"700",300000,31,561,500
"701",400000,40,0,385
"702",200000,27,8588,1304
"703",10000,22,0,0
"704",50000,30,37615,1600
"705",30000,22,26357,2500
"706",50000,26,19060,1000
"707",50000,38,50616,2000
"708",30000,46,14673,0
"709",20000,24,1320,0
"710",20000,49,10000,0
"711",50000,49,18088,2000
"712",30000,42,46254,2000
"713",360000,30,0,0
"714",170000,42,4750,0
"715",400000,31,2174,0
"716",50000,49,29645,1064
"717",160000,27,87049,2500
"718",70000,33,0,1651
"719",150000,35,0,0
"720",80000,48,27236,2000
"721",30000,22,30520,0
"722",10000,22,5033,2500
"723",180000,27,3333,3333
"724",320000,47,316,516
"725",80000,34,31401,0
"726",10000,45,10192,200
"727",360000,39,998,9004
"728",450000,33,113,2515
"729",330000,29,49880,519
"730",60000,29,1023,0
"731",50000,26,7666,361
"732",200000,38,168802,10000
"733",120000,34,-18,0
"734",160000,37,0,316
"735",110000,57,30900,0
"736",70000,50,18659,690
"737",150000,28,96704,3050
"738",610000,31,105965,2000
"739",110000,25,84011,3202
"740",80000,25,23718,2000
"741",170000,33,84237,4500
"742",110000,30,0,0
"743",140000,51,55744,2132
"744",70000,51,40150,5000
"745",260000,46,12532,12151
"746",170000,38,34434,5000
"747",50000,34,16826,4000
"748",300000,34,191069,5500
"749",150000,31,780,0
"750",50000,25,34365,3000
"751",50000,26,5176,2000
"752",90000,25,73568,0
"753",50000,26,20041,649
"754",500000,43,11590,1572
"755",470000,36,2100,1014
"756",230000,58,51083,0
"757",140000,26,20047,1000
"758",230000,30,12663,2959
"759",420000,31,64507,2324
"760",30000,24,30528,3000
"761",50000,52,18711,900
"762",140000,24,0,0
"763",260000,35,85962,25000
"764",90000,29,0,0
"765",240000,33,233710,8000
"766",510000,35,1116,2115
"767",110000,35,40434,5000
"768",210000,28,8114,27760
"769",220000,40,612,1863
"770",200000,35,0,0
"771",360000,53,8123,8736
"772",260000,44,466,316
"773",20000,33,10101,458
"774",120000,32,117949,4003
"775",50000,33,0,0
"776",60000,26,37993,0
"777",200000,26,3393,2994
"778",20000,26,1320,0
"779",50000,32,2312,2000
"780",50000,31,32851,2420
"781",230000,29,34672,3000
"782",50000,27,1085,0
"783",100000,28,87096,3280
"784",210000,42,0,0
"785",230000,32,76645,2800
"786",500000,26,0,0
"787",370000,38,0,0
"788",230000,35,32519,6000
"789",80000,29,4129,1000
"790",60000,29,0,0
"791",30000,51,27249,967
"792",70000,27,1096,0
"793",410000,32,-281,0
"794",280000,40,2124,0
"795",50000,34,20329,1114
"796",100000,30,80347,3200
"797",230000,29,0,0
"798",50000,22,0,0
"799",100000,48,18147,3000
"800",210000,35,28012,2000
"801",400000,37,3058,3768
"802",20000,25,16314,0
"803",50000,44,11104,1000
"804",230000,28,0,0
"805",220000,29,0,0
"806",300000,36,65755,3000
"807",80000,23,3703,426
"808",20000,36,19953,0
"809",190000,26,35171,1400
"810",160000,37,28021,426
"811",120000,44,0,0
"812",700000,39,61707,17785
"813",140000,24,0,0
"814",300000,29,6138,0
"815",120000,33,72215,0
"816",280000,39,108143,4000
"817",70000,51,47245,2100
"818",20000,24,6204,4739
"819",150000,45,3795,10675
"820",60000,30,18848,1000
"821",200000,51,390,390
"822",50000,24,26850,3000
"823",150000,50,63156,5000
"824",20000,22,19705,0
"825",40000,27,12413,2078
"826",170000,33,0,0
"827",50000,24,28607,1000
"828",10000,37,5923,0
"829",200000,58,1500,185652
"830",50000,48,9693,503
"831",320000,28,0,3000
"832",20000,24,21162,0
"833",470000,27,90717,5001
"834",230000,30,0,0
"835",20000,23,0,0
"836",30000,53,3245,7305
"837",80000,23,25476,0
"838",110000,55,18828,1000
"839",420000,34,103200,20000
"840",500000,43,0,0
"841",80000,22,27109,2000
"842",350000,31,39965,784
"843",30000,32,6804,4985
"844",110000,33,150,102
"845",500000,39,367399,12022
"846",490000,38,8452,1139
"847",300000,34,1815,5000
"848",50000,42,29789,1132
"849",150000,37,143131,4221
"850",80000,57,15000,100
"851",40000,23,44059,0
"852",30000,32,22428,1000
"853",50000,37,0,0
"854",140000,23,44614,1700
"855",50000,49,0,0
"856",30000,25,7300,0
"857",40000,29,34487,0
"858",100000,43,53176,4500
"859",130000,29,129669,8000
"860",20000,27,6321,0
"861",50000,26,0,0
"862",260000,41,46199,10000
"863",30000,52,2450,0
"864",10000,31,8703,322
"865",200000,32,49666,2500
"866",30000,46,27409,800
"867",180000,35,0,0
"868",100000,35,0,47970
"869",140000,39,78400,3000
"870",290000,34,305498,12031
"871",20000,52,17664,641
"872",80000,40,43108,1600
"873",500000,38,189,5391
"874",180000,45,1890,2576
"875",20000,40,390,780
"876",30000,25,29818,1000
"877",150000,33,68837,6000
"878",280000,27,9530,0
"879",50000,43,10757,501
"880",20000,43,18844,1000
"881",200000,30,5318,1000
"882",210000,49,0,0
"883",230000,38,133504,4900
"884",50000,57,29647,1048
"885",50000,55,29878,994
"886",70000,23,59141,4700
"887",310000,30,-304,39544
"888",180000,30,2549,1000
"889",90000,24,14422,102
"890",390000,28,38555,5042
"891",150000,34,377,0
"892",400000,37,12284,2005
"893",80000,32,0,0
"894",320000,27,96073,3031
"895",240000,37,0,0
"896",200000,31,100,100
"897",110000,55,101577,0
"898",170000,28,145012,5656
"899",90000,51,14184,525
"900",200000,36,0,0
"901",360000,30,0,0
"902",140000,36,0,0
"903",220000,25,34608,2000
"904",100000,50,0,0
"905",80000,40,63293,2000
"906",30000,27,29086,1576
"907",50000,30,2699,0
"908",120000,26,0,738
"909",50000,27,0,0
"910",360000,27,46153,40000
"911",90000,25,88813,4000
"912",500000,32,253671,10000
"913",140000,46,77169,5000
"914",30000,45,0,0
"915",70000,30,23404,1000
"916",200000,39,3983,0
"917",350000,48,33827,1500
"918",120000,32,0,0
"919",240000,46,352257,12000
"920",90000,23,43744,4000
"921",260000,33,2500,0
"922",50000,24,32555,1400
"923",110000,40,31352,5742
"924",20000,24,716,12111
"925",30000,24,0,0
"926",180000,27,13080,0
"927",20000,46,8490,319
"928",50000,22,20303,1000
"929",180000,36,17795,6915
"930",200000,34,1143,744
"931",260000,24,56728,3000
"932",320000,60,4317,52466
"933",160000,29,0,594
"934",30000,32,12566,1000
"935",50000,36,10776,190
"936",50000,30,0,0
"937",90000,29,57398,3000
"938",240000,34,1711,27162
"939",180000,32,23389,2000
"940",200000,32,11193,10190
"941",50000,25,19630,1000
"942",50000,44,1261,1261
"943",330000,37,1013,0
"944",80000,24,300,0
"945",50000,23,1100,0
"946",360000,29,3508,0
"947",240000,37,191816,6000
"948",50000,59,19791,687
"949",470000,33,164377,51305
"950",160000,51,2125,23250
"951",30000,27,0,0
"952",80000,32,79069,3100
"953",500000,42,90193,0
"954",180000,39,2628,0
"955",110000,46,107940,3500
"956",160000,41,19939,0
"957",210000,30,105573,4000
"958",200000,34,488,300
"959",350000,35,2261,26346
"960",250000,41,2367,3117
"961",380000,43,-2,0
"962",30000,47,772,0
"963",200000,31,31647,4000
"964",30000,30,22913,1000
"965",50000,24,6187,3008
"966",500000,36,266669,10002
"967",30000,28,0,0
"968",220000,36,1324,1039
"969",20000,27,14774,2011
"970",180000,32,54024,2000
"971",300000,42,10492,2709
"972",130000,33,101597,4000
"973",180000,39,14809,2000
"974",150000,30,-1,2050
"975",140000,30,72267,2700
"976",50000,22,18233,1000
"977",20000,25,0,0
"978",180000,28,390,1998
"979",180000,26,5487,62
"980",150000,54,145738,5215
"981",70000,24,60883,1952
"982",30000,29,30558,0
"983",500000,36,27911,17397
"984",60000,49,40656,2500
"985",50000,23,18273,2512
"986",130000,43,1212,9546
"987",260000,33,40805,2000
"988",380000,53,0,0
"989",360000,25,279503,126685
"990",50000,54,53143,4000
"991",50000,39,31276,9100
"992",260000,44,431,1104
"993",80000,27,63655,2600
"994",360000,25,0,0
"995",290000,29,0,0
"996",200000,39,0,0
"997",140000,45,46383,1495
"998",360000,38,0,0
"999",50000,23,500,18300
"1000",120000,25,88802,2000
"1001",100000,29,101299,0
"1002",200000,28,3632,1504
"1003",90000,40,780,0
"1004",360000,36,0,0
"1005",150000,30,0,0
"1006",140000,29,1744,2265
"1007",200000,36,980,0
"1008",170000,37,135242,5000
"1009",30000,34,51224,512
"1010",80000,27,0,0
"1011",280000,31,132964,5000
"1012",410000,31,-2303,6384
"1013",450000,38,12415,6728
"1014",80000,36,29757,1500
"1015",360000,46,-16,0
"1016",130000,36,92394,4000
"1017",160000,26,11855,0
"1018",140000,57,92425,3424
"1019",240000,40,1744,0
"1020",180000,45,0,0
"1021",70000,57,62495,1451
"1022",150000,25,57663,2880
"1023",210000,37,41150,0
"1024",200000,35,14527,679
"1025",310000,33,5104,1434
"1026",180000,38,129870,1300
"1027",300000,31,765,773
"1028",450000,41,1990,1900
"1029",200000,33,4577,6266
"1030",30000,67,26855,2302
"1031",400000,40,130,8595
"1032",170000,33,600,2100
"1033",140000,31,326,326
"1034",200000,35,71887,3000
"1035",60000,39,0,0
"1036",60000,27,49764,2000
"1037",150000,23,78321,3000
"1038",180000,54,84598,2402
"1039",50000,23,17936,2800
"1040",50000,24,18804,1000
"1041",20000,26,0,0
"1042",230000,52,2553,3759
"1043",110000,42,49470,1756
